category,global_grid_nested,category_grid_shrink75,delta,rows,positives
Одежда,0.5847187535328726,0.5967523951061233,0.012033641573250708,23357,2751
Обувь,0.57676847715335,0.5845342686704809,0.00776579151713086,18362,1813
Мебель,0.7705265275495359,0.7770757805613561,0.006549253011820189,18366,2756
Галантерея и аксессуары,0.7358878952562845,0.741064585503939,0.005176690247654547,17984,3015
Ювелирные изделия,0.6069385592115303,0.611511659002741,0.0045730997912106774,18695,2317
Строительство и ремонт,0.8267604523690971,0.8292250185143165,0.0024645661452193934,18102,3929
Электроника,0.7879879574627684,0.7901313060570414,0.002143348594273009,18681,3227
Дом и сад,0.8504346228941099,0.8524397315485789,0.002005108654469012,17574,4608
Канцелярские товары,0.8183269975194312,0.8202545052494303,0.0019275077299991672,17435,5903
Красота и гигиена,0.8394487824290651,0.8411144252394256,0.0016656428103605236,17286,6283
Спорт и отдых,0.7489208132514754,0.7503502731244642,0.0014294598729888142,17717,4600
Автотовары,0.7284037256010245,0.7297209379963834,0.0013172123953588688,19010,3326
Продукты питания,0.8959557056576257,0.897196668951075,0.0012409632934492487,18284,4946
Музыкальные инструменты,0.8739163390956036,0.8748015594541352,0.0008852203585315577,17817,3950
Товары для животных,0.9091976690255104,0.9099361760089847,0.0007385069834743296,18211,6480
Бытовая техника,0.8557997179074691,0.8564591796627964,0.000659461755327273,17814,6404
Аптека,0.8793193269983447,0.8797419696713028,0.00042264267295810676,18285,1328
Детские товары,0.92010063228629,0.9202616007100535,0.00016096842376345233,17561,9869
Хобби и творчество,0.9372914342570139,0.9370222714039882,-0.0002691628530256951,17677,8202
Бытовая химия,0.9157523711426998,0.9151352445666244,-0.0006171265760753775,17436,8183
