category,two_global_nested,two_category_shrink75,delta
Автотовары,0.7298467524896355,0.7298467524896355,0.0
Аптека,0.8769160723782481,0.8769160723782481,0.0
Бытовая техника,0.8559341827127707,0.8559341827127707,0.0
Бытовая химия,0.9153284946296523,0.9153284946296523,0.0
Галантерея и аксессуары,0.7331408457471386,0.7330389698349279,-0.00010187591221066938
Детские товары,0.9204549962370775,0.9204549962370775,0.0
Дом и сад,0.8497641811768598,0.8497641811768598,0.0
Канцелярские товары,0.816340456114626,0.816340456114626,0.0
Красота и гигиена,0.8384536467276617,0.8389379282900462,0.00048428156238455866
Мебель,0.7608947957183161,0.7608947957183161,0.0
Музыкальные инструменты,0.8744020571422862,0.8744020571422862,0.0
Обувь,0.573766908309613,0.5777133829572967,0.003946474647683718
Одежда,0.5757850788307266,0.5821975299680041,0.006412451137277508
Продукты питания,0.8953984515142887,0.8953984515142887,0.0
Спорт и отдых,0.7476497028855627,0.7476497028855627,0.0
Строительство и ремонт,0.8241414711854057,0.8239841226095513,-0.0001573485758543658
Товары для животных,0.9083585347483654,0.9083585347483654,0.0
Хобби и творчество,0.9370405967104937,0.9370405967104937,0.0
Электроника,0.787571396336174,0.787571396336174,0.0
Ювелирные изделия,0.6001202034147375,0.6001202034147375,0.0
