variant,fold,metric,delta_vs_global_nested
two_global_fixed_2to1,fold_01,0.7987231758462926,-0.0005500501685249404
two_global_nested,fold_01,0.7992732260148175,0.0
two_category_shrink75,fold_01,0.7998968878971903,0.000623661882372728
two_global_fixed_2to1,fold_02,0.804390199246676,-0.0010247431437564458
two_global_nested,fold_02,0.8054149423904324,0.0
two_category_shrink75,fold_02,0.8057102041674795,0.00029526177704708445
two_global_fixed_2to1,fold_03,0.798231249653893,-0.0009964764866414733
two_global_nested,fold_03,0.7992277261405345,0.0
two_category_shrink75,fold_03,0.7999089076627031,0.0006811815221685613
two_global_fixed_2to1,fold_04,0.8011803013625485,-0.0008253585221504878
two_global_nested,fold_04,0.802005659884699,0.0
two_category_shrink75,fold_04,0.8025225112174892,0.0005168513327902247
two_global_fixed_2to1,aggregate,0.8001755153412173,-0.0008899259092647327
two_global_nested,aggregate,0.8010654412504821,0.0
two_category_shrink75,aggregate,0.8015946403934461,0.0005291991429640097
