held_fold,category,global_mdeb,global_distill,category_mdeb,category_distill,shrunk_mdeb,shrunk_distill,changes_global
fold_01,Автотовары,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_01,Аптека,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_01,Бытовая техника,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_01,Бытовая химия,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_01,Галантерея и аксессуары,0.25,0.75,0.0,1.0,0.0625,0.9375,True
fold_01,Детские товары,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_01,Дом и сад,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_01,Канцелярские товары,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_01,Красота и гигиена,0.25,0.75,0.5,0.5,0.4375,0.5625,True
fold_01,Мебель,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_01,Музыкальные инструменты,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_01,Обувь,0.25,0.75,0.0,1.0,0.0625,0.9375,True
fold_01,Одежда,0.25,0.75,0.0,1.0,0.0625,0.9375,True
fold_01,Продукты питания,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_01,Спорт и отдых,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_01,Строительство и ремонт,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_01,Товары для животных,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_01,Хобби и творчество,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_01,Электроника,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_01,Ювелирные изделия,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_02,Автотовары,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_02,Аптека,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_02,Бытовая техника,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_02,Бытовая химия,0.25,0.75,0.25,0.75,0.25,0.75,False
fold_02,Галантерея и аксессуары,0.25,0.75,0.25,0.75,0.25,0.75,False
