fold,variant,category,ap
fold_01,final,Строительство и ремонт,0.8048033758205412
fold_01,final,Галантерея и аксессуары,0.7314565957314695
fold_01,final,Одежда,0.5934353590226831
fold_01,final,Детские товары,0.9219822479891804
fold_01,final,Спорт и отдых,0.7477217303434082
fold_01,final,Продукты питания,0.8946927849780435
fold_01,final,Музыкальные инструменты,0.8672069651753078
fold_01,final,Аптека,0.8793389691641572
fold_01,final,Мебель,0.7630495528253244
fold_01,final,Ювелирные изделия,0.6256214275339556
fold_01,final,Бытовая техника,0.8542207541853314
fold_01,final,Товары для животных,0.9105784488086771
fold_01,final,Бытовая химия,0.9013025867014087
fold_01,final,Дом и сад,0.8405149452776074
fold_01,final,Хобби и творчество,0.9301745078866689
fold_01,final,Красота и гигиена,0.8393218221445704
fold_01,final,Канцелярские товары,0.8016241321338401
fold_01,final,Обувь,0.5752896564120462
fold_01,final,Электроника,0.787804852817475
fold_01,final,Автотовары,0.7161186488579216
fold_01,late_avg,Дом и сад,0.8401154700102647
fold_01,late_avg,Автотовары,0.7154381906082461
fold_01,late_avg,Товары для животных,0.9103842401094218
fold_01,late_avg,Одежда,0.5927216804858615
fold_01,late_avg,Канцелярские товары,0.8009522214263378
fold_01,late_avg,Обувь,0.5751775044062712
fold_01,late_avg,Спорт и отдых,0.7471240941143308
fold_01,late_avg,Музыкальные инструменты,0.8662537344566086
fold_01,late_avg,Ювелирные изделия,0.6249994173561959
fold_01,late_avg,Красота и гигиена,0.8389198352248087
fold_01,late_avg,Электроника,0.7857969220069219
fold_01,late_avg,Строительство и ремонт,0.8049461537003464
fold_01,late_avg,Мебель,0.7626865168452437
fold_01,late_avg,Бытовая химия,0.901055823999161
fold_01,late_avg,Бытовая техника,0.8540048320918229
fold_01,late_avg,Детские товары,0.9218400142728803
fold_01,late_avg,Галантерея и аксессуары,0.7305486355516699
fold_01,late_avg,Хобби и творчество,0.9303396583407005
fold_01,late_avg,Продукты питания,0.8942282152256226
fold_01,late_avg,Аптека,0.8791700926257865
fold_01,ema,Бытовая химия,0.9011809371075707
fold_01,ema,Дом и сад,0.8401535056900779
fold_01,ema,Хобби и творчество,0.9301379955222004
fold_01,ema,Электроника,0.7865793304518042
fold_01,ema,Детские товары,0.9219052851685213
fold_01,ema,Бытовая техника,0.8540474077704262
fold_01,ema,Галантерея и аксессуары,0.7311091117735163
fold_01,ema,Канцелярские товары,0.8013698608049197
fold_01,ema,Строительство и ремонт,0.8045551919492956
fold_01,ema,Обувь,0.5750647853765704
fold_01,ema,Одежда,0.5929603155977632
fold_01,ema,Автотовары,0.7154878431843632
fold_01,ema,Товары для животных,0.9104580265471534
fold_01,ema,Музыкальные инструменты,0.8667402215334702
fold_01,ema,Красота и гигиена,0.8391008825213144
fold_01,ema,Продукты питания,0.8944355967867362
fold_01,ema,Спорт и отдых,0.7472893090738598
fold_01,ema,Мебель,0.7628011170299445
fold_01,ema,Ювелирные изделия,0.62563247809864
fold_01,ema,Аптека,0.8793306517920917
fold_01,early_avg,Бытовая химия,0.8985003372789889
fold_01,early_avg,Детские товары,0.9187209687424084
fold_01,early_avg,Автотовары,0.7128652480660277
fold_01,early_avg,Мебель,0.7549104560534602
fold_01,early_avg,Товары для животных,0.9077358877023212
fold_01,early_avg,Одежда,0.5848346441899449
fold_01,early_avg,Хобби и творчество,0.9274341099997099
fold_01,early_avg,Ювелирные изделия,0.6150569523669516
fold_01,early_avg,Красота и гигиена,0.8353013959937997
fold_01,early_avg,Обувь,0.5672963970421718
fold_01,early_avg,Электроника,0.781909498278104
fold_01,early_avg,Аптека,0.8740953966059299
fold_01,early_avg,Продукты питания,0.8919426418498654
fold_01,early_avg,Галантерея и аксессуары,0.7234876744631423
fold_01,early_avg,Канцелярские товары,0.7952508715513954
fold_01,early_avg,Строительство и ремонт,0.8016537373344262
fold_01,early_avg,Спорт и отдых,0.7445148754264839
fold_01,early_avg,Дом и сад,0.8366382736462303
fold_01,early_avg,Музыкальные инструменты,0.8636877249067557
fold_01,early_avg,Бытовая техника,0.8499231024692457
fold_01,late_pred_avg,Канцелярские товары,0.8011586156694279
fold_01,late_pred_avg,Одежда,0.5927647356371142
fold_01,late_pred_avg,Автотовары,0.7156117868261179
fold_01,late_pred_avg,Детские товары,0.9218344480713911
fold_01,late_pred_avg,Мебель,0.7625580261993564
fold_01,late_pred_avg,Галантерея и аксессуары,0.7305365567799743
fold_01,late_pred_avg,Аптека,0.8792438772007698
fold_01,late_pred_avg,Обувь,0.5751461939122178
fold_01,late_pred_avg,Музыкальные инструменты,0.8662061278247244
fold_01,late_pred_avg,Ювелирные изделия,0.6251332725141667
fold_01,late_pred_avg,Продукты питания,0.8942645708466358
fold_01,late_pred_avg,Товары для животных,0.9104254380525306
fold_01,late_pred_avg,Красота и гигиена,0.8390304634591869
fold_01,late_pred_avg,Хобби и творчество,0.9303746153170132
fold_01,late_pred_avg,Строительство и ремонт,0.8050552274333035
fold_01,late_pred_avg,Дом и сад,0.8401995690364326
