fold,variant,category,rows,ap
fold_01,bce,Автотовары,4786,0.7146387300074665
fold_01,bce,Аптека,4621,0.8765474103749543
fold_01,bce,Бытовая техника,4467,0.8531449562631895
fold_01,bce,Бытовая химия,4337,0.9017784199131176
fold_01,bce,Галантерея и аксессуары,4428,0.7350795185094925
fold_01,bce,Детские товары,4430,0.9220602337378965
fold_01,bce,Дом и сад,4573,0.8384834111852025
fold_01,bce,Канцелярские товары,4381,0.8033043339571664
fold_01,bce,Красота и гигиена,4295,0.8390486931054315
fold_01,bce,Мебель,4583,0.7598463505311075
fold_01,bce,Музыкальные инструменты,4436,0.8678226232892287
fold_01,bce,Обувь,4482,0.5761495462021327
fold_01,bce,Одежда,5946,0.5958280758300959
fold_01,bce,Продукты питания,4549,0.8959043044038952
fold_01,bce,Спорт и отдых,4319,0.746586346355441
fold_01,bce,Строительство и ремонт,4559,0.8064148038054826
fold_01,bce,Товары для животных,4560,0.9104086410984192
fold_01,bce,Хобби и творчество,4339,0.9318014248045482
fold_01,bce,Электроника,4526,0.7876149369861243
fold_01,bce,Ювелирные изделия,4540,0.6255372624887285
fold_02,bce,Автотовары,4660,0.7469053779335643
fold_02,bce,Аптека,4520,0.8821200647712415
fold_02,bce,Бытовая техника,4350,0.8575564343082279
fold_02,bce,Бытовая химия,4400,0.920721585737501
fold_02,bce,Галантерея и аксессуары,4507,0.7448957987621183
fold_02,bce,Детские товары,4432,0.9234793774221483
fold_02,bce,Дом и сад,4436,0.8526572009414001
fold_02,bce,Канцелярские товары,4361,0.8415578002135506
fold_02,bce,Красота и гигиена,4224,0.8338516600341751
fold_02,bce,Мебель,4565,0.759377608994395
fold_02,bce,Музыкальные инструменты,4375,0.8673789814053776
fold_02,bce,Обувь,4622,0.5761502474692735
fold_02,bce,Одежда,5777,0.580392623501487
fold_02,bce,Продукты питания,4581,0.8962235536537524
fold_02,bce,Спорт и отдых,4417,0.7646719597837623
fold_02,bce,Строительство и ремонт,4495,0.8339534507725976
fold_02,bce,Товары для животных,4534,0.9086025721567983
fold_02,bce,Хобби и творчество,4488,0.94427097778743
fold_02,bce,Электроника,4906,0.7906862819848763
fold_02,bce,Ювелирные изделия,4824,0.5702732148781381
