fold,mode,category,slice,rows,ap
fold_01,prefix,Автотовары,all,4786,0.7066092239584855
fold_01,prefix,Автотовары,any_trunc,409,0.693330987659196
fold_01,prefix,Аптека,all,4621,0.8644463975408592
fold_01,prefix,Аптека,any_trunc,2067,0.8001385548386918
fold_01,prefix,Бытовая техника,all,4467,0.8451714493297048
fold_01,prefix,Бытовая техника,any_trunc,1440,0.8315646798357694
fold_01,prefix,Бытовая химия,all,4337,0.8942064846716112
fold_01,prefix,Бытовая химия,any_trunc,123,0.8716693954672413
fold_01,prefix,Галантерея и аксессуары,all,4428,0.7123522991937812
fold_01,prefix,Галантерея и аксессуары,any_trunc,137,0.8927968272329174
fold_01,prefix,Детские товары,all,4430,0.9131612946113253
fold_01,prefix,Детские товары,any_trunc,75,0.44638036947358983
fold_01,prefix,Дом и сад,all,4573,0.8368405135555566
fold_01,prefix,Дом и сад,any_trunc,298,0.659736764729067
fold_01,prefix,Канцелярские товары,all,4381,0.7972173409436215
fold_01,prefix,Канцелярские товары,any_trunc,18,1.0
fold_01,prefix,Красота и гигиена,all,4295,0.8268732632314318
fold_01,prefix,Красота и гигиена,any_trunc,739,0.8701070890131447
fold_01,prefix,Мебель,all,4583,0.7468663232246865
fold_01,prefix,Мебель,any_trunc,1658,0.6970950613170146
fold_01,prefix,Музыкальные инструменты,all,4436,0.8578904919764538
fold_01,prefix,Музыкальные инструменты,any_trunc,44,0.675
fold_01,prefix,Обувь,all,4482,0.5655826952216056
fold_01,prefix,Обувь,any_trunc,133,0.640103288288772
fold_01,prefix,Одежда,all,5946,0.5816784715760444
fold_01,prefix,Одежда,any_trunc,119,0.5866403987571036
fold_01,prefix,Продукты питания,all,4549,0.8810207037420923
fold_01,prefix,Продукты питания,any_trunc,905,0.9014017259197437
fold_01,prefix,Спорт и отдых,all,4319,0.7322623231620271
fold_01,prefix,Спорт и отдых,any_trunc,279,0.7597579750368374
fold_01,prefix,Строительство и ремонт,all,4559,0.7973152106859648
fold_01,prefix,Строительство и ремонт,any_trunc,647,0.8124231142660503
fold_01,prefix,Товары для животных,all,4560,0.9059359791224196
fold_01,prefix,Товары для животных,any_trunc,1051,0.9304915281317208
fold_01,prefix,Хобби и творчество,all,4339,0.9227236235012323
fold_01,prefix,Хобби и творчество,any_trunc,71,0.5645483971524746
fold_01,prefix,Электроника,all,4526,0.767846653574429
fold_01,prefix,Электроника,any_trunc,1528,0.7779518322457685
fold_01,prefix,Ювелирные изделия,all,4540,0.6110770932062687
fold_01,prefix,Ювелирные изделия,any_trunc,360,0.6440181510532055
fold_01,headtail,Автотовары,all,4786,0.7070689916252799
fold_01,headtail,Автотовары,any_trunc,409,0.6973337794397416
fold_01,headtail,Аптека,all,4621,0.8641054702544715
fold_01,headtail,Аптека,any_trunc,2067,0.7885548586514657
fold_01,headtail,Бытовая техника,all,4467,0.8482491881353058
fold_01,headtail,Бытовая техника,any_trunc,1440,0.8433052265063318
fold_01,headtail,Бытовая химия,all,4337,0.8946840578998466
fold_01,headtail,Бытовая химия,any_trunc,123,0.8653455654342499
fold_01,headtail,Галантерея и аксессуары,all,4428,0.7119257880503472
fold_01,headtail,Галантерея и аксессуары,any_trunc,137,0.8911139455782313
fold_01,headtail,Детские товары,all,4430,0.913863442550267
fold_01,headtail,Детские товары,any_trunc,75,0.39054546549802716
fold_01,headtail,Дом и сад,all,4573,0.8340557506232211
fold_01,headtail,Дом и сад,any_trunc,298,0.6144423343735156
fold_01,headtail,Канцелярские товары,all,4381,0.7967648374415315
fold_01,headtail,Канцелярские товары,any_trunc,18,1.0
fold_01,headtail,Красота и гигиена,all,4295,0.8260485447191872
fold_01,headtail,Красота и гигиена,any_trunc,739,0.8646471174044583
fold_01,headtail,Мебель,all,4583,0.7472958727499117
fold_01,headtail,Мебель,any_trunc,1658,0.7024320360349219
fold_01,headtail,Музыкальные инструменты,all,4436,0.858647069451582
fold_01,headtail,Музыкальные инструменты,any_trunc,44,0.7644230769230769
fold_01,headtail,Обувь,all,4482,0.5628844720968837
fold_01,headtail,Обувь,any_trunc,133,0.619086888178799
fold_01,headtail,Одежда,all,5946,0.5814380432709523
fold_01,headtail,Одежда,any_trunc,119,0.6676360528191192
fold_01,headtail,Продукты питания,all,4549,0.8811844200493786
fold_01,headtail,Продукты питания,any_trunc,905,0.9064346930364122
fold_01,headtail,Спорт и отдых,all,4319,0.7316805571406112
fold_01,headtail,Спорт и отдых,any_trunc,279,0.7412541706075421
fold_01,headtail,Строительство и ремонт,all,4559,0.79643609180639
fold_01,headtail,Строительство и ремонт,any_trunc,647,0.8137442720212125
fold_01,headtail,Товары для животных,all,4560,0.9053125420995485
fold_01,headtail,Товары для животных,any_trunc,1051,0.9235242413347151
fold_01,headtail,Хобби и творчество,all,4339,0.9236469387052012
fold_01,headtail,Хобби и творчество,any_trunc,71,0.5450093737688834
fold_01,headtail,Электроника,all,4526,0.7707634909446213
fold_01,headtail,Электроника,any_trunc,1528,0.7868803989269628
fold_01,headtail,Ювелирные изделия,all,4540,0.6110599130184597
fold_01,headtail,Ювелирные изделия,any_trunc,360,0.6594892873290196
fold_01,middle,Автотовары,all,4786,0.69260789235624
fold_01,middle,Автотовары,any_trunc,409,0.5202648429249077
fold_01,middle,Аптека,all,4621,0.8611956629809401
fold_01,middle,Аптека,any_trunc,2067,0.7797867580447674
fold_01,middle,Бытовая техника,all,4467,0.8200677337800635
fold_01,middle,Бытовая техника,any_trunc,1440,0.7279152284835245
fold_01,middle,Бытовая химия,all,4337,0.8917232955558339
fold_01,middle,Бытовая химия,any_trunc,123,0.8362656727129114
fold_01,middle,Галантерея и аксессуары,all,4428,0.7110602096651665
fold_01,middle,Галантерея и аксессуары,any_trunc,137,0.8133043392356525
fold_01,middle,Детские товары,all,4430,0.9143933258872232
fold_01,middle,Детские товары,any_trunc,75,0.47244422244422246
fold_01,middle,Дом и сад,all,4573,0.8334140096515007
fold_01,middle,Дом и сад,any_trunc,298,0.6263947685967404
fold_01,middle,Канцелярские товары,all,4381,0.797322925397106
fold_01,middle,Канцелярские товары,any_trunc,18,1.0
fold_01,middle,Красота и гигиена,all,4295,0.8099246956041958
fold_01,middle,Красота и гигиена,any_trunc,739,0.7785993939799698
fold_01,middle,Мебель,all,4583,0.7132430628133284
fold_01,middle,Мебель,any_trunc,1658,0.5798027796807158
fold_01,middle,Музыкальные инструменты,all,4436,0.8570706256627718
fold_01,middle,Музыкальные инструменты,any_trunc,44,0.4583333333333333
fold_01,middle,Обувь,all,4482,0.5623826705256846
fold_01,middle,Обувь,any_trunc,133,0.692205628540215
fold_01,middle,Одежда,all,5946,0.5760920498463946
fold_01,middle,Одежда,any_trunc,119,0.5821652927391487
fold_01,middle,Продукты питания,all,4549,0.8612924114482928
fold_01,middle,Продукты питания,any_trunc,905,0.7972502201929194
fold_01,middle,Спорт и отдых,all,4319,0.7217068536002837
fold_01,middle,Спорт и отдых,any_trunc,279,0.5486180195432968
fold_01,middle,Строительство и ремонт,all,4559,0.7880430440169971
fold_01,middle,Строительство и ремонт,any_trunc,647,0.7534865304890573
fold_01,middle,Товары для животных,all,4560,0.8932352370885059
