fold,mode,slice,rows,macro_category_ap,pooled_ap,categories_scored
fold_01,prefix,all,91157,0.7883538918014801,0.8393460115935663,20
fold_01,prefix,no_trunc,79056,0.7885775964440392,0.8400141596003271,20
fold_01,prefix,any_trunc,12101,0.7527578070209154,0.8335403442057985,20
fold_01,prefix,both_trunc,5622,0.7177958994664986,0.8286230771872105,20
fold_01,prefix,len_382_512,10395,0.7528300621545331,0.8311307927297924,20
fold_01,prefix,len_513_768,1685,0.819247082158184,0.857482155850638,12
fold_01,prefix,len_gt768,21,0.8977272727272727,0.8394357743097238,4
fold_01,headtail,all,91157,0.7883557741316498,0.8397186140216133,20
fold_01,headtail,no_trunc,79056,0.7882570524035251,0.8401337464723592,20
fold_01,headtail,any_trunc,12101,0.7542601391933342,0.8355880903157642,20
fold_01,headtail,both_trunc,5622,0.7098616781997108,0.8328798483591043,20
fold_01,headtail,len_382_512,10395,0.754496550338658,0.8347430984306504,20
fold_01,headtail,len_513_768,1685,0.8060261872383828,0.8444201275158146,12
fold_01,headtail,len_gt768,21,0.8999999999999999,0.8394357743097238,4
fold_01,middle,all,91157,0.7776847917863352,0.8301240554185068,20
fold_01,middle,no_trunc,79056,0.7873362533229968,0.8391319342430146,20
fold_01,middle,any_trunc,12101,0.6795940414818982,0.7367798983831693,20
fold_01,middle,both_trunc,5622,0.6415192475965098,0.6842478009446303,20
fold_01,middle,len_382_512,10395,0.6886279151395881,0.7503346880504542,20
fold_01,middle,len_513_768,1685,0.6680725700080371,0.600498317872102,12
fold_01,middle,len_gt768,21,0.8125,0.7178371348539416,4
fold_02,prefix,all,91474,0.7958884985071094,0.8501934244253405,20
fold_02,prefix,no_trunc,79496,0.7973912649007581,0.8519543724784148,20
fold_02,prefix,any_trunc,11978,0.7198938929156224,0.834256798217939,20
fold_02,prefix,both_trunc,5660,0.6960501543068582,0.8352924903269464,20
fold_02,prefix,len_382_512,10193,0.7220576015570735,0.8316548689655197,20
fold_02,prefix,len_513_768,1771,0.8420435939842188,0.8642949718166988,10
fold_02,prefix,len_gt768,14,0.41666666666666663,0.19914529914529916,1
fold_02,headtail,all,91474,0.7959116482252243,0.85002690541036,20
fold_02,headtail,no_trunc,79496,0.7970012747069304,0.851761742050094,20
fold_02,headtail,any_trunc,11978,0.7301501465343272,0.8337423421950365,20
fold_02,headtail,both_trunc,5660,0.7121557959648063,0.8351154148487809,20
fold_02,headtail,len_382_512,10193,0.7320072398231037,0.8314472401712585,20
fold_02,headtail,len_513_768,1771,0.8486942271986762,0.8586786364770108,10
fold_02,headtail,len_gt768,14,0.7,0.37777777777777777,1
fold_02,middle,all,91474,0.7844220631395448,0.8396243470876029,20
fold_02,middle,no_trunc,79496,0.79610923621449,0.8506052152728314,20
fold_02,middle,any_trunc,11978,0.6356957111205619,0.715634452412784,20
fold_02,middle,both_trunc,5660,0.5996828307702589,0.6622222452483841,20
fold_02,middle,len_382_512,10193,0.6431859561665401,0.7259348917074645,20
fold_02,middle,len_513_768,1771,0.672875908958951,0.6284007001960246,10
fold_02,middle,len_gt768,14,0.6666666666666666,0.6464646464646464,1
