variant,fold,category,rows,prauc
baseline,fold_01,Автотовары,4786,0.7149550345083932
baseline,fold_01,Аптека,4621,0.880057518202825
baseline,fold_01,Бытовая техника,4467,0.8538324325554587
baseline,fold_01,Бытовая химия,4337,0.9024826130519751
baseline,fold_01,Галантерея и аксессуары,4428,0.7318175713079919
baseline,fold_01,Детские товары,4430,0.9223705522050811
baseline,fold_01,Дом и сад,4573,0.8376904119380493
baseline,fold_01,Канцелярские товары,4381,0.8009173918001233
baseline,fold_01,Красота и гигиена,4295,0.8403011277925782
baseline,fold_01,Мебель,4583,0.7618722696554069
baseline,fold_01,Музыкальные инструменты,4436,0.8681978236786558
baseline,fold_01,Обувь,4482,0.5778343088293286
baseline,fold_01,Одежда,5946,0.5966351533985815
baseline,fold_01,Продукты питания,4549,0.8966755853406766
baseline,fold_01,Спорт и отдых,4319,0.746974534081809
baseline,fold_01,Строительство и ремонт,4559,0.806882802844594
baseline,fold_01,Товары для животных,4560,0.9113742694029662
baseline,fold_01,Хобби и творчество,4339,0.9313649241938037
baseline,fold_01,Электроника,4526,0.7872871713673278
baseline,fold_01,Ювелирные изделия,4540,0.6241133785799892
category_balanced,fold_01,Автотовары,4786,0.7143100305718108
category_balanced,fold_01,Аптека,4621,0.8784563162522037
category_balanced,fold_01,Бытовая техника,4467,0.8542033596932771
category_balanced,fold_01,Бытовая химия,4337,0.9017626895484334
category_balanced,fold_01,Галантерея и аксессуары,4428,0.7346846449930926
category_balanced,fold_01,Детские товары,4430,0.9227545876925853
category_balanced,fold_01,Дом и сад,4573,0.8400831909333154
category_balanced,fold_01,Канцелярские товары,4381,0.8032630801899759
category_balanced,fold_01,Красота и гигиена,4295,0.8405028642543908
category_balanced,fold_01,Мебель,4583,0.7627280125846005
category_balanced,fold_01,Музыкальные инструменты,4436,0.8663320822619627
category_balanced,fold_01,Обувь,4482,0.577649499806539
category_balanced,fold_01,Одежда,5946,0.5897958327501768
category_balanced,fold_01,Продукты питания,4549,0.8966515207632617
category_balanced,fold_01,Спорт и отдых,4319,0.7483915710042112
category_balanced,fold_01,Строительство и ремонт,4559,0.8072481379134638
category_balanced,fold_01,Товары для животных,4560,0.9105789071398052
category_balanced,fold_01,Хобби и творчество,4339,0.9311799157359149
category_balanced,fold_01,Электроника,4526,0.7877962190745587
category_balanced,fold_01,Ювелирные изделия,4540,0.6245927957353865
baseline,fold_02,Автотовары,4660,0.7466137870572036
baseline,fold_02,Аптека,4520,0.8809464735019011
baseline,fold_02,Бытовая техника,4350,0.8577852119715229
