fold,variant,category,rows,ap
fold_01,bce,Автотовары,4786,0.7162564341889803
fold_01,bce,Аптека,4621,0.8795530093508471
fold_01,bce,Бытовая техника,4467,0.8547930101908471
fold_01,bce,Бытовая химия,4337,0.9025018289071757
fold_01,bce,Галантерея и аксессуары,4428,0.7321272982603173
fold_01,bce,Детские товары,4430,0.9217208389101937
fold_01,bce,Дом и сад,4573,0.8400024353825115
fold_01,bce,Канцелярские товары,4381,0.8031590955546024
fold_01,bce,Красота и гигиена,4295,0.8395272949027774
fold_01,bce,Мебель,4583,0.764943287192959
fold_01,bce,Музыкальные инструменты,4436,0.8665156035016828
fold_01,bce,Обувь,4482,0.5815142484989934
fold_01,bce,Одежда,5946,0.5961345778207592
fold_01,bce,Продукты питания,4549,0.894302950246726
fold_01,bce,Спорт и отдых,4319,0.747403491040445
fold_01,bce,Строительство и ремонт,4559,0.8048958294117302
fold_01,bce,Товары для животных,4560,0.9112902356004697
fold_01,bce,Хобби и творчество,4339,0.9302306661293677
fold_01,bce,Электроника,4526,0.7886049028722714
fold_01,bce,Ювелирные изделия,4540,0.6245262735570917
fold_01,poly05,Автотовары,4786,0.7162382336618207
fold_01,poly05,Аптека,4621,0.8802497215170982
fold_01,poly05,Бытовая техника,4467,0.8549355926672804
fold_01,poly05,Бытовая химия,4337,0.9022917315399408
fold_01,poly05,Галантерея и аксессуары,4428,0.731922488392915
fold_01,poly05,Детские товары,4430,0.9216806631496183
fold_01,poly05,Дом и сад,4573,0.8400825402657967
fold_01,poly05,Канцелярские товары,4381,0.8036040187642703
fold_01,poly05,Красота и гигиена,4295,0.8397600247027361
fold_01,poly05,Мебель,4583,0.7644825522784912
fold_01,poly05,Музыкальные инструменты,4436,0.8667177823933058
fold_01,poly05,Обувь,4482,0.5829534061318221
fold_01,poly05,Одежда,5946,0.5984478690013343
fold_01,poly05,Продукты питания,4549,0.8940982960920291
fold_01,poly05,Спорт и отдых,4319,0.7476291302811775
fold_01,poly05,Строительство и ремонт,4559,0.8051598063524211
fold_01,poly05,Товары для животных,4560,0.9113934937370411
fold_01,poly05,Хобби и творчество,4339,0.9303539258577677
fold_01,poly05,Электроника,4526,0.7884772391911109
fold_01,poly05,Ювелирные изделия,4540,0.6253306784298811
fold_01,polyneg05,Автотовары,4786,0.7161969564500528
fold_01,polyneg05,Аптека,4621,0.8781783805979936
fold_01,polyneg05,Бытовая техника,4467,0.8548031941938633
fold_01,polyneg05,Бытовая химия,4337,0.902657851021426
fold_01,polyneg05,Галантерея и аксессуары,4428,0.7322791394618813
fold_01,polyneg05,Детские товары,4430,0.9216820379488468
fold_01,polyneg05,Дом и сад,4573,0.839726625530924
fold_01,polyneg05,Канцелярские товары,4381,0.8027411479905799
fold_01,polyneg05,Красота и гигиена,4295,0.8392198212035323
fold_01,polyneg05,Мебель,4583,0.7651344337279911
fold_01,polyneg05,Музыкальные инструменты,4436,0.8662911845526499
fold_01,polyneg05,Обувь,4482,0.5795307874101179
fold_01,polyneg05,Одежда,5946,0.5940756403395693
fold_01,polyneg05,Продукты питания,4549,0.8945974462110888
fold_01,polyneg05,Спорт и отдых,4319,0.7466428767087561
fold_01,polyneg05,Строительство и ремонт,4559,0.8046737686402097
fold_01,polyneg05,Товары для животных,4560,0.9111055901548228
fold_01,polyneg05,Хобби и творчество,4339,0.9299872722054592
fold_01,polyneg05,Электроника,4526,0.7878735093823793
fold_01,polyneg05,Ювелирные изделия,4540,0.6234890146104999
fold_02,bce,Автотовары,4660,0.7467735943997955
fold_02,bce,Аптека,4520,0.8793718251312934
fold_02,bce,Бытовая техника,4350,0.8581965936261329
fold_02,bce,Бытовая химия,4400,0.9210564357889114
fold_02,bce,Галантерея и аксессуары,4507,0.7467662941935258
fold_02,bce,Детские товары,4432,0.9241114506954435
fold_02,bce,Дом и сад,4436,0.8532347279744943
fold_02,bce,Канцелярские товары,4361,0.8412016077963699
fold_02,bce,Красота и гигиена,4224,0.8348820195315094
fold_02,bce,Мебель,4565,0.7574898284970849
fold_02,bce,Музыкальные инструменты,4375,0.8649666797069658
fold_02,bce,Обувь,4622,0.5700481225318661
fold_02,bce,Одежда,5777,0.5788962265468908
fold_02,bce,Продукты питания,4581,0.8974712378248572
fold_02,bce,Спорт и отдых,4417,0.7644526064887589
fold_02,bce,Строительство и ремонт,4495,0.8338048248586241
fold_02,bce,Товары для животных,4534,0.9085239403555851
fold_02,bce,Хобби и творчество,4488,0.9438922389575071
fold_02,bce,Электроника,4906,0.7915356845158799
fold_02,bce,Ювелирные изделия,4824,0.5727039648318888
fold_02,poly05,Автотовары,4660,0.7463340609504863
fold_02,poly05,Аптека,4520,0.8784737174277789
fold_02,poly05,Бытовая техника,4350,0.8577916084149819
fold_02,poly05,Бытовая химия,4400,0.9208892573012971
fold_02,poly05,Галантерея и аксессуары,4507,0.7470400628614827
fold_02,poly05,Детские товары,4432,0.9242119966969292
fold_02,poly05,Дом и сад,4436,0.8535836095942874
fold_02,poly05,Канцелярские товары,4361,0.8415749516162198
fold_02,poly05,Красота и гигиена,4224,0.8349997026983687
fold_02,poly05,Мебель,4565,0.7584531049355023
fold_02,poly05,Музыкальные инструменты,4375,0.865296154654549
fold_02,poly05,Обувь,4622,0.571769523727364
fold_02,poly05,Одежда,5777,0.58053630619891
fold_02,poly05,Продукты питания,4581,0.8974372319559526
fold_02,poly05,Спорт и отдых,4417,0.7645969219076713
fold_02,poly05,Строительство и ремонт,4495,0.8332060888960127
fold_02,poly05,Товары для животных,4534,0.9084836242135753
fold_02,poly05,Хобби и творчество,4488,0.9437834328546073
fold_02,poly05,Электроника,4906,0.7913795829890916
fold_02,poly05,Ювелирные изделия,4824,0.572187971231287
fold_02,polyneg05,Автотовары,4660,0.7470929559652011
fold_02,polyneg05,Аптека,4520,0.8801134551351987
fold_02,polyneg05,Бытовая техника,4350,0.8583315497956533
fold_02,polyneg05,Бытовая химия,4400,0.9210293120493459
fold_02,polyneg05,Галантерея и аксессуары,4507,0.7462560973323008
fold_02,polyneg05,Детские товары,4432,0.9238226463624555
fold_02,polyneg05,Дом и сад,4436,0.8532737945487793
fold_02,polyneg05,Канцелярские товары,4361,0.8413177676248508
fold_02,polyneg05,Красота и гигиена,4224,0.8344815870825459
fold_02,polyneg05,Мебель,4565,0.7565393636285171
fold_02,polyneg05,Музыкальные инструменты,4375,0.8651952123221405
fold_02,polyneg05,Обувь,4622,0.5685243626406619
fold_02,polyneg05,Одежда,5777,0.576148220253313
fold_02,polyneg05,Продукты питания,4581,0.8970499045390865
fold_02,polyneg05,Спорт и отдых,4417,0.7650665516367285
fold_02,polyneg05,Строительство и ремонт,4495,0.8345649244964112
fold_02,polyneg05,Товары для животных,4534,0.908291022966704
fold_02,polyneg05,Хобби и творчество,4488,0.9438869613924027
fold_02,polyneg05,Электроника,4906,0.7918392679507201
fold_02,polyneg05,Ювелирные изделия,4824,0.5716460364014537
