category,rows,bce_mean,poly05_delta_mean,poly05_delta_min,poly05_delta_max,polyneg05_delta_mean,poly05_same_positive,poly05_same_negative
Одежда,2,0.5875154021838249,0.0019766854162971415,0.0016400796520191774,0.0023132911805751055,-0.0024034718873838234,True,False
Обувь,2,0.5757811855154298,0.0015802794141633325,0.001439157632828758,0.001721401195497907,-0.0017536104900398586,True,False
Канцелярские товары,2,0.8221803516754862,0.00040913351475890813,0.00037334381984988063,0.00044492320966793564,-0.00015089386777078495,True,False
Музыкальные инструменты,2,0.8657411416043244,0.0002658269196030849,0.00020217889162299496,0.00032947494758317486,2.0568330708625737e-06,True,False
Мебель,2,0.761216557845022,0.0002512707619747867,-0.000460734914467853,0.0009632764384174264,-0.00037965916676785394,False,False
Дом и сад,2,0.8466185816785029,0.00021449325153910515,8.010488328513699e-05,0.0003488816197930733,-0.000118371638651249,True,False
Спорт и отдых,2,0.755928048764602,0.0001849773298224222,0.00014431541891235522,0.0002256392407324892,-7.333459185965285e-05,True,False
Красота и гигиена,2,0.8372046572171434,0.00017520648340896283,0.0001176831668592282,0.00023272979995869747,-0.0003539530741042962,True,False
Ювелирные изделия,2,0.5986151191944902,0.0001442056360937971,-0.0005159936006018384,0.0008044048727894326,-0.0010475936885134263,False,False
Галантерея и аксессуары,2,0.7394467962269216,3.4479400277287464e-05,-0.00020480986740234464,0.00027376866795691956,-0.00017917782983051245,False,False
Товары для животных,2,0.9099070879780274,3.147099728079139e-05,-4.031614200983302e-05,0.0001032581365714158,-0.00020878141726399235,False,False
Детские товары,2,0.9229161448028187,3.018512045510624e-05,-4.017576057546712e-05,0.0001005460014856796,-0.00016380264716747694,False,False
Хобби и творчество,2,0.9370614525434373,7.226812750116274e-06,-0.00010880610289976111,0.00012325972839999366,-0.00012433574450643192,False,False
Аптека,2,0.8794624172410703,-0.00010069776863169677,-0.0008981077035145058,0.0006967121662511122,-0.000316499374474144,False,False
Продукты питания,2,0.8958870940357916,-0.00011933001180075564,-0.00020465415469694825,-3.400586890456303e-05,-6.341866070391777e-05,False,True
Бытовая техника,2,0.8564948019084899,-0.00013120136735883525,-0.00040498521115095443,0.00014258247643328392,7.257008626831984e-05,False,False
Электроника,2,0.7900702936940756,-0.0001418826039743526,-0.00015610152678824374,-0.00012766368116046145,-0.0002139050275258847,False,True
Строительство и ремонт,2,0.8193503271351772,-0.00016737951096024162,-0.0005987359626113964,0.00026397694069091315,0.00026901943313328847,False,False
Бытовая химия,2,0.9117791323480435,-0.00018863792742457308,-0.00021009736723487382,-0.00016717848761427234,6.444918734244132e-05,False,True
Автотовары,2,0.7315150142943879,-0.00022886698823443297,-0.0004395334493092484,-1.8200527159617508e-05,0.00012994191323900672,False,True
