fold,variant,category,ap
fold_01,e2_len224,Мебель,0.7599588994176839
fold_01,e2_len224,Ювелирные изделия,0.6268351593392572
fold_01,e2_len224,Товары для животных,0.910194784362148
fold_01,e2_len224,Бытовая химия,0.9017748262880677
fold_01,e2_len224,Хобби и творчество,0.9314202831106673
fold_01,e2_len224,Обувь,0.5777946045064669
fold_01,e2_len224,Электроника,0.7890621410845112
fold_01,e2_len224,Спорт и отдых,0.7472238777747977
fold_01,e2_len224,Одежда,0.595389197589428
fold_01,e2_len224,Строительство и ремонт,0.8039551187930044
fold_01,e2_len224,Галантерея и аксессуары,0.7329868127836731
fold_01,e2_len224,Канцелярские товары,0.8020374474864735
fold_01,e2_len224,Красота и гигиена,0.8398160739978262
fold_01,e2_len224,Бытовая техника,0.8539046224709417
fold_01,e2_len224,Автотовары,0.7147413379889378
fold_01,e2_len224,Продукты питания,0.8956353070228574
fold_01,e2_len224,Музыкальные инструменты,0.8671624577920549
fold_01,e2_len224,Дом и сад,0.8395004125316804
fold_01,e2_len224,Аптека,0.8778392354002045
fold_01,e2_len224,Детские товары,0.9217666347859719
fold_01,e3_len224,Спорт и отдых,0.7531496283982068
fold_01,e3_len224,Дом и сад,0.8406436363959745
fold_01,e3_len224,Автотовары,0.7186342640687094
fold_01,e3_len224,Строительство и ремонт,0.8103993577288622
fold_01,e3_len224,Бытовая техника,0.8547438926782737
fold_01,e3_len224,Обувь,0.5798430708162303
fold_01,e3_len224,Одежда,0.5937773689487049
fold_01,e3_len224,Красота и гигиена,0.8391053661556036
fold_01,e3_len224,Детские товары,0.9227140139911696
fold_01,e3_len224,Товары для животных,0.9121428907959237
fold_01,e3_len224,Ювелирные изделия,0.6257207891154462
fold_01,e3_len224,Электроника,0.7900694144312483
fold_01,e3_len224,Аптека,0.8771262361450178
fold_01,e3_len224,Продукты питания,0.8971266676432057
fold_01,e3_len224,Галантерея и аксессуары,0.7376569507135937
fold_01,e3_len224,Канцелярские товары,0.8048026625485326
fold_01,e3_len224,Музыкальные инструменты,0.8717485694049222
fold_01,e3_len224,Мебель,0.7651187134661842
fold_01,e3_len224,Бытовая химия,0.9044637646470165
fold_01,e3_len224,Хобби и творчество,0.931563734114898
fold_01,e2_len384,Спорт и отдых,0.7441813615129833
fold_01,e2_len384,Красота и гигиена,0.837649576587739
fold_01,e2_len384,Обувь,0.5870970291826401
fold_01,e2_len384,Хобби и творчество,0.9300567703219239
fold_01,e2_len384,Автотовары,0.7150275708259615
fold_01,e2_len384,Мебель,0.775153547845765
fold_01,e2_len384,Строительство и ремонт,0.8087748884010055
fold_01,e2_len384,Бытовая техника,0.8538416332327938
fold_01,e2_len384,Ювелирные изделия,0.6358879814653278
fold_01,e2_len384,Продукты питания,0.8948381030938837
fold_01,e2_len384,Музыкальные инструменты,0.8654509918841583
fold_01,e2_len384,Аптека,0.8788724507466784
fold_01,e2_len384,Дом и сад,0.841743406699427
fold_01,e2_len384,Бытовая химия,0.9026307927049856
fold_01,e2_len384,Канцелярские товары,0.8038728886856145
fold_01,e2_len384,Электроника,0.7905306003908281
fold_01,e2_len384,Товары для животных,0.9125710498842782
