variant,category,rows,positives,ap
"bce","Автотовары",9446,1678,0.7187235385804526
"bce","Аптека",9141,672,0.8685844939071513
"bce","Бытовая техника",8817,3186,0.8416218645971769
"bce","Бытовая химия",8737,4026,0.9028030821211334
"bce","Галантерея и аксессуары",8935,1485,0.712517502819348
"bce","Детские товары",8862,4982,0.9128509755032623
"bce","Дом и сад",9009,2365,0.83252310684209
"bce","Канцелярские товары",8742,2983,0.8122010385097302
"bce","Красота и гигиена",8519,3127,0.8277540919914623
"bce","Мебель",9148,1353,0.7003857116537705
"bce","Музыкальные инструменты",8811,1902,0.8533760071640852
"bce","Обувь",9104,889,0.511301297201624
"bce","Одежда",11723,1355,0.5405316161318734
"bce","Продукты питания",9130,2475,0.8877073163784358
"bce","Спорт и отдых",8736,2295,0.7383796104960209
"bce","Строительство и ремонт",9054,1983,0.800858645890354
"bce","Товары для животных",9094,3213,0.9011441736783345
"bce","Хобби и творчество",8827,4134,0.9302183562816643
"bce","Электроника",9432,1595,0.7562489859511778
"bce","Ювелирные изделия",9364,1164,0.5715489631348738
"rank01","Автотовары",9446,1678,0.7183865040391899
"rank01","Аптека",9141,672,0.8682978308031608
"rank01","Бытовая техника",8817,3186,0.841632756846966
"rank01","Бытовая химия",8737,4026,0.9027010873820437
"rank01","Галантерея и аксессуары",8935,1485,0.71062404625097
"rank01","Детские товары",8862,4982,0.912782893739001
"rank01","Дом и сад",9009,2365,0.8321560992962964
"rank01","Канцелярские товары",8742,2983,0.8117414597234431
"rank01","Красота и гигиена",8519,3127,0.827628681043897
"rank01","Мебель",9148,1353,0.7007389004421418
"rank01","Музыкальные инструменты",8811,1902,0.852997092043998
"rank01","Обувь",9104,889,0.5108111940726394
"rank01","Одежда",11723,1355,0.5393896054664805
"rank01","Продукты питания",9130,2475,0.8872406491826608
"rank01","Спорт и отдых",8736,2295,0.7391871570665696
"rank01","Строительство и ремонт",9054,1983,0.8004946700275682
"rank01","Товары для животных",9094,3213,0.9008250989826552
"rank01","Хобби и творчество",8827,4134,0.9305890876589157
"rank01","Электроника",9432,1595,0.7557180365280585
"rank01","Ювелирные изделия",9364,1164,0.5709968523673327
"rank03","Автотовары",9446,1678,0.7178184641657437
"rank03","Аптека",9141,672,0.867523406361433
"rank03","Бытовая техника",8817,3186,0.841382337264342
"rank03","Бытовая химия",8737,4026,0.9026934538544549
"rank03","Галантерея и аксессуары",8935,1485,0.7086247200939091
"rank03","Детские товары",8862,4982,0.9123821713498288
"rank03","Дом и сад",9009,2365,0.831891000260625
"rank03","Канцелярские товары",8742,2983,0.8108723971769626
"rank03","Красота и гигиена",8519,3127,0.8271665633529854
"rank03","Мебель",9148,1353,0.7007720341254173
"rank03","Музыкальные инструменты",8811,1902,0.8521535094689413
"rank03","Обувь",9104,889,0.5075279374770267
"rank03","Одежда",11723,1355,0.5358661992862804
"rank03","Продукты питания",9130,2475,0.8862021833762104
"rank03","Спорт и отдых",8736,2295,0.7395831556063165
"rank03","Строительство и ремонт",9054,1983,0.8002864031553479
"rank03","Товары для животных",9094,3213,0.9002615068980657
"rank03","Хобби и творчество",8827,4134,0.930687973225466
"rank03","Электроника",9432,1595,0.7547844577305334
"rank03","Ювелирные изделия",9364,1164,0.5699344242903253
"random03","Автотовары",9446,1678,0.7192463895011898
"random03","Аптека",9141,672,0.8690369790412186
"random03","Бытовая техника",8817,3186,0.8408809228639745
"random03","Бытовая химия",8737,4026,0.9032968725327515
"random03","Галантерея и аксессуары",8935,1485,0.7092629465973241
"random03","Детские товары",8862,4982,0.9122455424313926
"random03","Дом и сад",9009,2365,0.8333223441269274
"random03","Канцелярские товары",8742,2983,0.8115901658061844
"random03","Красота и гигиена",8519,3127,0.8265029670285866
"random03","Мебель",9148,1353,0.7023825366115066
"random03","Музыкальные инструменты",8811,1902,0.8533512038794805
"random03","Обувь",9104,889,0.5111416462216619
"random03","Одежда",11723,1355,0.5373606520946557
"random03","Продукты питания",9130,2475,0.8865977657422219
"random03","Спорт и отдых",8736,2295,0.7367321151438162
"random03","Строительство и ремонт",9054,1983,0.7995921897344085
"random03","Товары для животных",9094,3213,0.900463134186971
"random03","Хобби и творчество",8827,4134,0.9300097130533652
"random03","Электроника",9432,1595,0.7555895303747178
"random03","Ювелирные изделия",9364,1164,0.5702490402821352
