candidate,control,metric,delta,delta_fold_01,delta_fold_02,delta_fold_03,delta_fold_04
final_stack_all,actual,0.8066488297848668,0.0009241992475836902,0.0007937422441582909,0.0008376935144130959,0.0009431294044649485,0.0010349503361609669
ce_final_combo,actual,0.8064630999514467,0.0007384694141635562,0.0005202839606884835,0.0007580933075360674,0.0008585673263553639,0.0009154259923095376
ce_ens9,actual,0.8059435968172017,0.00021896627991857542,0.00013626280892453657,0.00012043195501743043,0.0003579557650912335,0.00028863141515567126
ce_distill,actual,0.8058638782067791,0.00013924766949591216,-0.00014106419763681988,0.0001829129815670294,0.0003298114198205804,0.00017983713198321816
knrm_name_v2,actual,0.8057823317297602,5.770119247705541e-05,0.00010049108688792163,-8.895032938138758e-05,0.00012880180320029577,4.359952890009566e-05
ce_e5_len160,actual,0.8057532540249751,2.862348769194778e-05,6.74519125735129e-05,-0.00024709516324483705,0.0001191421610899912,0.00010696084067551848
ce_rubase_len224,actual,0.8056917620893513,-3.2868447931821976e-05,-6.074054890703451e-05,-2.2239153279590695e-05,-2.248042828090213e-05,-3.663976002232783e-05
zs_qwen35_4b,actual,0.8056813586976513,-4.327183963181991e-05,2.2341676918724573e-05,-0.0001481010257703419,-1.62386606070708e-05,-0.0001340989200482312
zs_gemma4_e4b,actual,0.8056140789430872,-0.00011055159419592897,-3.651577894281388e-05,-0.00030603550004282276,-0.00010511933135737284,-0.00014419642781171582
final_stack_all,shuffled,0.8058521116104013,0.00012748107311810752,,,,
zs_qwen35_4b,shuffled,0.8057611739701673,3.6543432884172944e-05,,,,
ce_rubase_len224,shuffled,0.8057030153688094,-2.1615168473765323e-05,,,,
knrm_name_v2,shuffled,0.8056866612514375,-3.796928584565151e-05,,,,
ce_e5_len160,shuffled,0.8056124601627526,-0.00011217037453059575,,,,
zs_gemma4_e4b,shuffled,0.8056015365456128,-0.00012309399167031998,,,,
ce_ens9,shuffled,0.8055880722905702,-0.00013655824671299222,,,,
ce_distill,shuffled,0.8055488966855213,-0.00017573385176183898,,,,
ce_final_combo,shuffled,0.8054536883924686,-0.000270942144814601,,,,
