,ce_final_combo,ce_ens9,ce_rubase_len384,ce_rubase_len224,ce_e5_len288,ce_e5_len160,ce_mdeb_len224,zs_llm_blend,final_stack_all,zs_gemma4_e4b,zs_qwen35_4b,knrm_name_v2,ce_distill,ce_priodistill
ce_final_combo,1.0,0.9914598400644585,0.9636676538032913,0.9572566347540357,0.9394500886498433,0.9140611592073433,0.9241339461459189,0.6672190750184847,0.9975753448306564,0.6495659183826268,0.639113422208793,0.44887398512385923,0.9681930739870316,0.966999310951277
ce_ens9,0.9914598400644585,1.0,0.9672998366838902,0.9644400528103678,0.9463488474909185,0.9193090785778757,0.9302983229149976,0.6666760308168116,0.9895435467454752,0.6491596131153972,0.6386911701482924,0.4478249321900396,0.9718246903942285,0.9688084769685936
ce_rubase_len384,0.9636676538032913,0.9672998366838902,1.0,0.9515155088549111,0.8825775787684657,0.8595657991253236,0.8635508048844855,0.638203450626699,0.9604518026226367,0.6217508416828916,0.6125312409637174,0.4343670669709209,0.9443689647470318,0.9479577051860144
ce_rubase_len224,0.9572566347540357,0.9644400528103678,0.9515155088549111,1.0,0.8961781874962907,0.8781367520435162,0.8830027296887222,0.6368604048078246,0.954685177006189,0.6204559002855241,0.6101488572659269,0.4367620442099098,0.9715756567653926,0.9543703229760478
ce_e5_len288,0.9394500886498433,0.9463488474909185,0.8825775787684657,0.8961781874962907,1.0,0.9386530161816214,0.8886454809198618,0.643101543840557,0.9390052685122862,0.6267783984518915,0.6158866219571891,0.43897496257953694,0.9180373987224376,0.9115708860213526
ce_e5_len160,0.9140611592073433,0.9193090785778757,0.8595657991253236,0.8781367520435162,0.9386530161816214,1.0,0.8809314283021727,0.6269484010163768,0.9137039286363969,0.6113913456019114,0.6005993017458101,0.44307916400266845,0.8991217891583801,0.8938184821372104
ce_mdeb_len224,0.9241339461459189,0.9302983229149976,0.8635508048844855,0.8830027296887222,0.8886454809198618,0.8809314283021727,1.0,0.6677993054168704,0.9262596223417632,0.6501377460298798,0.6393569650613927,0.4197643463044653,0.9086440803778834,0.9010041884568291
zs_llm_blend,0.6672190750184847,0.6666760308168116,0.638203450626699,0.6368604048078246,0.643101543840557,0.6269484010163768,0.6677993054168704,1.0,0.7073055380905597,0.9634861911487705,0.9594718082692896,0.30709089043830484,0.6685950740093165,0.6714791224964092
final_stack_all,0.9975753448306564,0.9895435467454752,0.9604518026226367,0.954685177006189,0.9390052685122862,0.9137039286363969,0.9262596223417632,0.7073055380905597,1.0,0.687581306261271,0.6769239429122873,0.44917988085034277,0.9686094492197966,0.9676801298415434
zs_gemma4_e4b,0.6495659183826268,0.6491596131153972,0.6217508416828916,0.6204559002855241,0.6267783984518915,0.6113913456019114,0.6501377460298798,0.9634861911487705,0.687581306261271,1.0,0.8531040013688904,0.30590945990620444,0.6502106130191319,0.6534870451339184
zs_qwen35_4b,0.639113422208793,0.6386911701482924,0.6125312409637174,0.6101488572659269,0.6158866219571891,0.6005993017458101,0.6393569650613927,0.9594718082692896,0.6769239429122873,0.8531040013688904,1.0,0.28793897401344964,0.6399209660260106,0.6422387433964494
knrm_name_v2,0.44887398512385923,0.4478249321900396,0.4343670669709209,0.4367620442099098,0.43897496257953694,0.44307916400266845,0.4197643463044653,0.30709089043830484,0.44917988085034277,0.30590945990620444,0.28793897401344964,1.0,0.44245034825144014,0.44261552332943005
ce_distill,0.9681930739870316,0.9718246903942285,0.9443689647470318,0.9715756567653926,0.9180373987224376,0.8991217891583801,0.9086440803778834,0.6685950740093165,0.9686094492197966,0.6502106130191319,0.6399209660260106,0.44245034825144014,1.0,0.9814690798209487
ce_priodistill,0.966999310951277,0.9688084769685936,0.9479577051860144,0.9543703229760478,0.9115708860213526,0.8938184821372104,0.9010041884568291,0.6714791224964092,0.9676801298415434,0.6534870451339184,0.6422387433964494,0.44261552332943005,0.9814690798209487,1.0
