candidate,held_fold,category,global_weight,category_weight,shrunk_weight
ce_final_combo,fold_01,Автотовары,0.35,0.35,0.35
ce_final_combo,fold_01,Аптека,0.35,0.1,0.1625
ce_final_combo,fold_01,Бытовая техника,0.35,0.0,0.0875
ce_final_combo,fold_01,Бытовая химия,0.35,0.35,0.35
ce_final_combo,fold_01,Галантерея и аксессуары,0.35,0.35,0.35
ce_final_combo,fold_01,Детские товары,0.35,0.35,0.35
ce_final_combo,fold_01,Дом и сад,0.35,0.1,0.1625
ce_final_combo,fold_01,Канцелярские товары,0.35,0.35,0.35
ce_final_combo,fold_01,Красота и гигиена,0.35,0.35,0.35
ce_final_combo,fold_01,Мебель,0.35,0.35,0.35
ce_final_combo,fold_01,Музыкальные инструменты,0.35,0.35,0.35
ce_final_combo,fold_01,Обувь,0.35,0.2,0.23750000000000002
ce_final_combo,fold_01,Одежда,0.35,0.35,0.35
ce_final_combo,fold_01,Продукты питания,0.35,0.35,0.35
ce_final_combo,fold_01,Спорт и отдых,0.35,0.35,0.35
ce_final_combo,fold_01,Строительство и ремонт,0.35,0.35,0.35
ce_final_combo,fold_01,Товары для животных,0.35,0.35,0.35
ce_final_combo,fold_01,Хобби и творчество,0.35,0.35,0.35
ce_final_combo,fold_01,Электроника,0.35,0.35,0.35
ce_final_combo,fold_01,Ювелирные изделия,0.35,0.35,0.35
ce_final_combo,fold_02,Автотовары,0.35,0.35,0.35
ce_final_combo,fold_02,Аптека,0.35,0.2,0.23750000000000002
ce_final_combo,fold_02,Бытовая техника,0.35,0.025,0.10625
ce_final_combo,fold_02,Бытовая химия,0.35,0.35,0.35
ce_final_combo,fold_02,Галантерея и аксессуары,0.35,0.35,0.35
ce_final_combo,fold_02,Детские товары,0.35,0.35,0.35
ce_final_combo,fold_02,Дом и сад,0.35,0.2,0.23750000000000002
ce_final_combo,fold_02,Канцелярские товары,0.35,0.35,0.35
ce_final_combo,fold_02,Красота и гигиена,0.35,0.35,0.35
ce_final_combo,fold_02,Мебель,0.35,0.35,0.35
ce_final_combo,fold_02,Музыкальные инструменты,0.35,0.1,0.1625
ce_final_combo,fold_02,Обувь,0.35,0.2,0.23750000000000002
ce_final_combo,fold_02,Одежда,0.35,0.35,0.35
ce_final_combo,fold_02,Продукты питания,0.35,0.35,0.35
ce_final_combo,fold_02,Спорт и отдых,0.35,0.35,0.35
ce_final_combo,fold_02,Строительство и ремонт,0.35,0.35,0.35
ce_final_combo,fold_02,Товары для животных,0.35,0.1,0.1625
ce_final_combo,fold_02,Хобби и творчество,0.35,0.35,0.35
ce_final_combo,fold_02,Электроника,0.35,0.35,0.35
ce_final_combo,fold_02,Ювелирные изделия,0.35,0.35,0.35
ce_final_combo,fold_03,Автотовары,0.35,0.35,0.35
ce_final_combo,fold_03,Аптека,0.35,0.35,0.35
ce_final_combo,fold_03,Бытовая техника,0.35,0.35,0.35
ce_final_combo,fold_03,Бытовая химия,0.35,0.35,0.35
ce_final_combo,fold_03,Галантерея и аксессуары,0.35,0.35,0.35
ce_final_combo,fold_03,Детские товары,0.35,0.35,0.35
ce_final_combo,fold_03,Дом и сад,0.35,0.025,0.10625
ce_final_combo,fold_03,Канцелярские товары,0.35,0.35,0.35
ce_final_combo,fold_03,Красота и гигиена,0.35,0.35,0.35
ce_final_combo,fold_03,Мебель,0.35,0.35,0.35
ce_final_combo,fold_03,Музыкальные инструменты,0.35,0.2,0.23750000000000002
ce_final_combo,fold_03,Обувь,0.35,0.2,0.23750000000000002
ce_final_combo,fold_03,Одежда,0.35,0.35,0.35
ce_final_combo,fold_03,Продукты питания,0.35,0.1,0.1625
ce_final_combo,fold_03,Спорт и отдых,0.35,0.35,0.35
ce_final_combo,fold_03,Строительство и ремонт,0.35,0.35,0.35
ce_final_combo,fold_03,Товары для животных,0.35,0.35,0.35
ce_final_combo,fold_03,Хобби и творчество,0.35,0.2,0.23750000000000002
ce_final_combo,fold_03,Электроника,0.35,0.35,0.35
ce_final_combo,fold_03,Ювелирные изделия,0.35,0.35,0.35
ce_final_combo,fold_04,Автотовары,0.35,0.35,0.35
ce_final_combo,fold_04,Аптека,0.35,0.35,0.35
ce_final_combo,fold_04,Бытовая техника,0.35,0.35,0.35
ce_final_combo,fold_04,Бытовая химия,0.35,0.35,0.35
ce_final_combo,fold_04,Галантерея и аксессуары,0.35,0.2,0.23750000000000002
ce_final_combo,fold_04,Детские товары,0.35,0.35,0.35
ce_final_combo,fold_04,Дом и сад,0.35,0.35,0.35
ce_final_combo,fold_04,Канцелярские товары,0.35,0.35,0.35
ce_final_combo,fold_04,Красота и гигиена,0.35,0.35,0.35
ce_final_combo,fold_04,Мебель,0.35,0.2,0.23750000000000002
ce_final_combo,fold_04,Музыкальные инструменты,0.35,0.35,0.35
ce_final_combo,fold_04,Обувь,0.35,0.1,0.1625
ce_final_combo,fold_04,Одежда,0.35,0.35,0.35
ce_final_combo,fold_04,Продукты питания,0.35,0.35,0.35
ce_final_combo,fold_04,Спорт и отдых,0.35,0.35,0.35
ce_final_combo,fold_04,Строительство и ремонт,0.35,0.1,0.1625
ce_final_combo,fold_04,Товары для животных,0.35,0.35,0.35
ce_final_combo,fold_04,Хобби и творчество,0.35,0.35,0.35
ce_final_combo,fold_04,Электроника,0.35,0.35,0.35
ce_final_combo,fold_04,Ювелирные изделия,0.35,0.35,0.35
ce_ens9,fold_01,Автотовары,0.2,0.35,0.31249999999999994
ce_ens9,fold_01,Аптека,0.2,0.35,0.31249999999999994
ce_ens9,fold_01,Бытовая техника,0.2,0.0,0.05
ce_ens9,fold_01,Бытовая химия,0.2,0.35,0.31249999999999994
ce_ens9,fold_01,Галантерея и аксессуары,0.2,0.2,0.2
ce_ens9,fold_01,Детские товары,0.2,0.2,0.2
ce_ens9,fold_01,Дом и сад,0.2,0.1,0.125
ce_ens9,fold_01,Канцелярские товары,0.2,0.35,0.31249999999999994
ce_ens9,fold_01,Красота и гигиена,0.2,0.05,0.08750000000000001
ce_ens9,fold_01,Мебель,0.2,0.1,0.125
ce_ens9,fold_01,Музыкальные инструменты,0.2,0.2,0.2
ce_ens9,fold_01,Обувь,0.2,0.025,0.06875
ce_ens9,fold_01,Одежда,0.2,0.0,0.05
ce_ens9,fold_01,Продукты питания,0.2,0.35,0.31249999999999994
ce_ens9,fold_01,Спорт и отдых,0.2,0.35,0.31249999999999994
ce_ens9,fold_01,Строительство и ремонт,0.2,0.35,0.31249999999999994
ce_ens9,fold_01,Товары для животных,0.2,0.2,0.2
ce_ens9,fold_01,Хобби и творчество,0.2,0.35,0.31249999999999994
ce_ens9,fold_01,Электроника,0.2,0.35,0.31249999999999994
ce_ens9,fold_01,Ювелирные изделия,0.2,0.35,0.31249999999999994
ce_ens9,fold_02,Автотовары,0.2,0.35,0.31249999999999994
ce_ens9,fold_02,Аптека,0.2,0.35,0.31249999999999994
ce_ens9,fold_02,Бытовая техника,0.2,0.025,0.06875
ce_ens9,fold_02,Бытовая химия,0.2,0.35,0.31249999999999994
ce_ens9,fold_02,Галантерея и аксессуары,0.2,0.2,0.2
ce_ens9,fold_02,Детские товары,0.2,0.2,0.2
ce_ens9,fold_02,Дом и сад,0.2,0.2,0.2
ce_ens9,fold_02,Канцелярские товары,0.2,0.35,0.31249999999999994
ce_ens9,fold_02,Красота и гигиена,0.2,0.0,0.05
ce_ens9,fold_02,Мебель,0.2,0.2,0.2
ce_ens9,fold_02,Музыкальные инструменты,0.2,0.05,0.08750000000000001
ce_ens9,fold_02,Обувь,0.2,0.025,0.06875
ce_ens9,fold_02,Одежда,0.2,0.0,0.05
ce_ens9,fold_02,Продукты питания,0.2,0.2,0.2
ce_ens9,fold_02,Спорт и отдых,0.2,0.35,0.31249999999999994
ce_ens9,fold_02,Строительство и ремонт,0.2,0.35,0.31249999999999994
ce_ens9,fold_02,Товары для животных,0.2,0.1,0.125
ce_ens9,fold_02,Хобби и творчество,0.2,0.2,0.2
