fold,variant,category,ap
fold_01,len224,Аптека,0.8758468194799542
fold_01,len224,Детские товары,0.9218376239197499
fold_01,len224,Одежда,0.5951479742027216
fold_01,len224,Спорт и отдых,0.7463750550533435
fold_01,len224,Обувь,0.5782793033683898
fold_01,len224,Мебель,0.7630140422763679
fold_01,len224,Электроника,0.7878515531005799
fold_01,len224,Музыкальные инструменты,0.8660555931084867
fold_01,len224,Продукты питания,0.8957964806974952
fold_01,len224,Галантерея и аксессуары,0.733769255323175
fold_01,len224,Бытовая химия,0.9020992493474159
fold_01,len224,Товары для животных,0.9114070835154606
fold_01,len224,Автотовары,0.7161121073722255
fold_01,len224,Ювелирные изделия,0.6271752122864843
fold_01,len224,Бытовая техника,0.8538845056956246
fold_01,len224,Хобби и творчество,0.9312851137838194
fold_01,len224,Строительство и ремонт,0.8074206919898929
fold_01,len224,Красота и гигиена,0.83894192839255
fold_01,len224,Канцелярские товары,0.8026185891336179
fold_01,len224,Дом и сад,0.8407848167742027
fold_01,len384,Бытовая химия,0.9030920825994256
fold_01,len384,Строительство и ремонт,0.8085439503153801
fold_01,len384,Спорт и отдых,0.7454199936907716
fold_01,len384,Канцелярские товары,0.8036649387945769
fold_01,len384,Красота и гигиена,0.837675627361134
fold_01,len384,Товары для животных,0.9117252069370824
fold_01,len384,Музыкальные инструменты,0.8675188055871584
fold_01,len384,Аптека,0.8799162075796743
fold_01,len384,Ювелирные изделия,0.6384213534385946
fold_01,len384,Детские товары,0.9218557018502159
fold_01,len384,Бытовая техника,0.8532444973035611
fold_01,len384,Автотовары,0.7162262962527399
fold_01,len384,Электроника,0.7898943382538373
fold_01,len384,Хобби и творчество,0.9309779978088283
fold_01,len384,Обувь,0.5867171591661218
fold_01,len384,Мебель,0.7769135304148646
fold_01,len384,Галантерея и аксессуары,0.7334244980615788
fold_01,len384,Дом и сад,0.8433805005327155
fold_01,len384,Продукты питания,0.8947628954138445
fold_01,len384,Одежда,0.5987960232379106
fold_02,len224,Обувь,0.5729971467943351
fold_02,len224,Дом и сад,0.8526055662392685
fold_02,len224,Канцелярские товары,0.841976025553731
fold_02,len224,Мебель,0.7591208985848423
fold_02,len224,Хобби и творчество,0.9429706932313111
fold_02,len224,Бытовая химия,0.9200019535082751
fold_02,len224,Товары для животных,0.9088836463847966
fold_02,len224,Строительство и ремонт,0.8332986192241741
fold_02,len224,Музыкальные инструменты,0.8651997753651921
fold_02,len224,Ювелирные изделия,0.5707546301983234
fold_02,len224,Красота и гигиена,0.8330746701514704
fold_02,len224,Продукты питания,0.8977461163359719
fold_02,len224,Бытовая техника,0.8569079623278064
fold_02,len224,Аптека,0.8791620839485902
fold_02,len224,Автотовары,0.7457240540936403
fold_02,len224,Электроника,0.7897404041400792
fold_02,len224,Детские товары,0.9248444960809217
fold_02,len224,Спорт и отдых,0.7653349345981811
fold_02,len224,Галантерея и аксессуары,0.7457427622815485
fold_02,len224,Одежда,0.5828638830400072
fold_02,len384,Спорт и отдых,0.7655315864221627
fold_02,len384,Мебель,0.7779926617909229
fold_02,len384,Хобби и творчество,0.9436563245515295
fold_02,len384,Галантерея и аксессуары,0.746160728013983
fold_02,len384,Ювелирные изделия,0.5788285709252704
fold_02,len384,Аптека,0.8817232200199256
fold_02,len384,Электроника,0.7901189093757952
fold_02,len384,Красота и гигиена,0.8348773497062916
fold_02,len384,Автотовары,0.7482785008608911
fold_02,len384,Бытовая химия,0.9184179475795984
fold_02,len384,Музыкальные инструменты,0.8640377055639943
fold_02,len384,Обувь,0.5871298805544306
fold_02,len384,Детские товары,0.9232483338011821
fold_02,len384,Одежда,0.5873072503209192
fold_02,len384,Бытовая техника,0.8581087454511279
fold_02,len384,Товары для животных,0.9108344403829031
fold_02,len384,Канцелярские товары,0.8419629820109475
fold_02,len384,Продукты питания,0.8969191065173052
fold_02,len384,Дом и сад,0.8557090047660735
fold_02,len384,Строительство и ремонт,0.8389759758828711
