case,fold,category,id1,id2,target,q_ce,q_llm,name1,name2
label0_models_say_match,fold_01,Бытовая техника,635655277086,240518257448,0,0.997,1.0,"hisense rb-343d4cw1, холодильник, белый",холодильник с морозильником hisense rb343d4cw1 белый
label0_models_say_match,fold_02,Автотовары,412316929911,850403641166,0,1.0,0.997,датчик quattro freni qf02b00006,датчик quattro freni qf02b00006
label0_models_say_match,fold_04,Автотовары,292057924751,523986019316,0,1.0,0.997,miles ролик ремня грм mitsubishi galant/lancer/l200 2.0/2.4d -07 (ina 531019320) ag02016,ролик ремня грм mitsubishi galant/lancer/l200 2.0/2.4d -07 ag02016
label0_models_say_match,fold_01,Автотовары,292057841759,223338302547,0,0.998,0.996,лампа накаливания lynxauto l14621y,"lynxauto лампа автомобильная p21/5w, 10 шт. арт. l14621y"
label0_models_say_match,fold_04,Музыкальные инструменты,34359830476,420906887497,0,0.996,0.994,"d'andrea cp23 md blk - упаковка медиаторов, толщина: 0.73 мм, 72 шт.","d'andrea cp23 md blk медиаторы, толщина 0.73 мм, 72 шт"
label0_models_say_match,fold_02,Товары для животных,824633814537,274878056740,0,0.998,0.99,"миска ""мур-мяу"" для кошек 0,3 л, 14,5 x 14,5 x 4 см, голубая","пижон миска ""мур-мяу"" для кошек 0,3 л, 14,5 x 14,5 x 4 см, голубая"
label0_models_say_match,fold_02,Хобби и творчество,601295519483,824633762183,0,0.992,0.996,"пластилин восковой гамма ""пчелка"", 10 цветов, 123 гр, со стеком (280031н)","гамма / пластилин восковой ""пчелка"", 10 цветов, 123 гр, со стеком"
label0_models_say_match,fold_03,Автотовары,42949682211,188978573752,0,0.989,0.997,"g-energy synthetic active 5w-30, масло моторное, синтетическое, 5 л",g-energy / масло моторное g-energy synthetic active 5w30 5 л
label0_models_say_match,fold_04,Автотовары,644245226632,618475322112,0,0.992,0.992,"gazpromneft масло трансмиссионное, 4 л",масло gl-4 80w-85 4л gazpromneft 2389901366
label0_models_say_match,fold_03,Детские товары,360777309433,317827603414,0,0.995,0.989,"конструктор ""архитектура лондон"" 488 деталей",lion toys / конструктор архитектура лондон
label0_models_say_match,fold_02,Музыкальные инструменты,601295442584,94489346756,0,0.991,0.993,"gardenia / каподастр для акустической гитары, gp005","gp005 каподастр для акустической гитары, gardenia"
label0_models_say_match,fold_04,Бытовая химия,360777375600,584115628659,0,0.99,0.994,chirton / освежитель воздуха лайт эир шоколадное ассорти,"освежитель воздуха чиртон лайт эйр ""шоколадное ассорти"", 300 мл"
label0_models_say_match,fold_04,Автотовары,403727070501,386547188458,0,0.999,0.984,lynxauto / сайлентблок переднего рычага подвески -,"lynxauto сайлентблок, арт. c9251"
label0_models_say_match,fold_03,Бытовая техника,824633841597,266287977580,0,0.992,0.99,без бренда температурный датчик сушки для стиральных машин whirlpool вирпул 482000028298,температурный датчик сушки для стиральных машин whirlpool вирпул 482000028298
label0_models_say_match,fold_02,Бытовая техника,231928323057,566935762788,0,0.989,0.993,bbk вакуумный упаковщик bvs801,bbk / вакуумный упаковщик bvs801
label0_models_say_match,fold_02,Музыкальные инструменты,60129618064,395137157258,0,0.985,0.997,"a506p-sl комплект струн для электрогитары, никель, 9-42 alice","alice / струны для электрогитары alice a506p-sl, никель 9-42"
label0_models_say_match,fold_01,Канцелярские товары,60129579350,395137010891,0,0.993,0.988,"папка для тетрадей officespace ""artspace"", sweet dreams, 1 отделение, а5, 240х190х40 мм, пластик, на молнии (птл-715_48917)","папка для тетрадей officespace ""artspace"", sweet dreams, 1 отделение, а5, 240х190х40 мм, пластик, на молнии (птл-715_48917)"
label0_models_say_match,fold_01,Музыкальные инструменты,833223656431,773094195500,0,0.996,0.985,"classic s комплект струн для классической гитары, сталь/медь,сталь,никель, 10-38, thomastik kf110",струны для классической гитары thomastik-infeld classic s kf110 10-38
label0_models_say_match,fold_01,Хобби и творчество,214748409405,137438995539,0,0.991,0.989,"фартук-накидка с рукавами для труда и занятий творчеством юнландия синий, 50х65 см","фартук-накидка с рукавами для труда и занятий творчеством юнландия, 50х65 см, синий, 229185"
label0_models_say_match,fold_03,Электроника,670015008863,816043910301,0,0.986,0.994,медиаконвертер d-link dmc-f20sc-bxu/b1a,d-link медиаконвертер dmc-f20sc-bxu/b1a
label0_models_say_match,fold_03,Музыкальные инструменты,515396199790,661425014454,0,0.986,0.994,струны для акустической гитары ernie ball 2146,cтруны для акустической гитары ernie ball 2146
label0_models_say_match,fold_02,Автотовары,489626293983,841813653476,0,0.995,0.984,bosch / фильтр воздушный suzuki grand vitara jb (1.6/2.0),bosch фильтр воздушный арт. f026400125
label0_models_say_match,fold_03,Автотовары,730144448530,833223712204,0,0.994,0.985,js asakashi фильтр топливный арт. fs21005,js asakashi / топливный фильтр js fs21005
label0_models_say_match,fold_02,Автотовары,627065349816,773094209294,0,0.997,0.982,sailun ice blazer wst3 шины зимние 205/55  r16 94t шипованные,sailun / шины зимние шипованные 205/55r16 94t xl ice blazer wst3
label0_models_say_match,fold_01,Товары для животных,274877920600,558345916269,0,0.979,0.999,"туалет средний с сеткой 36 х 26 х 6,5 см, красный","no name туалет средний с сеткой 36 х 26 х 6,5 см, красный,"
label0_models_say_match,fold_01,Бытовая химия,541165944361,824633762257,0,0.98,0.997,airwick / освежитель воздуха airwick травяной чай и зимний лес 290 мл,"airwick освежитель воздуха, сибирская сказка травяной чай и зимний лес, 290 мл"
label0_models_say_match,fold_04,Музыкальные инструменты,609885398785,584115599261,0,0.984,0.993,"укулеле сопрано kaimana uk-21 ppm , цвет фиолетовый матовый",укулеле сопрано kaimana uk-21 ppm
label0_models_say_match,fold_03,Музыкальные инструменты,386547086353,584115577620,0,0.984,0.992,"комплект струн для акустической гитары olympia cta1152, 11-52",струны для акустической гитары olympia cta1152
label0_models_say_match,fold_04,Электроника,240518174870,695784798569,0,0.976,1.0,камера видеонаблюдения ip trassir tr-d2121ir3w 3.6-3.6мм цв. корп: белый (tr-d2121ir3w (3.6 mm)),камера видеонаблюдения ip trassir tr-d2121ir3w 3.6-3.6мм цв. корп.:белый (tr-d2121ir3w (3.6 mm))
label0_models_say_match,fold_03,Музыкальные инструменты,223338368317,197568506108,0,0.996,0.98,"bosstone gs-303rs ремень для гитары, тканевый с рисунком черепа, красный","bosstone gs-303rs ремень для гитары, тканевый красный с рисунком черепа"
label0_models_say_match,fold_04,Канцелярские товары,386547090559,747324441145,0,0.988,0.988,"стержень для гелевой ручки crown hi-jell hjr-200, 0.5 мм, 138 мм черный 12 шт.","стержень гелевый crown ""hi-jell"" черный, 138мм, 0,5мм (12 шт), hjr-200"
label0_models_say_match,fold_01,Дом и сад,326417526486,841813596886,0,0.992,0.982,аэлита / маттиола летний вечер,"маттиола летний вечер 0,5г"
label0_models_say_match,fold_02,Электроника,618475420241,592705607861,0,0.977,0.996,картридж лазерный cactus cs-tk8800c голубой (20000стр.) для kyocera ecosys p8060cdn,картридж лазерный cactus cs-tk8800c tk-8800c голубой (20000стр.) для kyocera ecosys p8060cdn
label0_models_say_match,fold_03,Хобби и творчество,807453912892,798863998591,0,0.989,0.984,"настольная игра ""дабл. смайлики"", 20 карточек","десятое королевство настольная игра «дабл. смайлики», 20 карточек"
label0_models_say_match,fold_01,Музыкальные инструменты,137439085550,369367251561,0,0.976,0.998,тюнер на прищепке musedo t-2046bd,тюнер musedo t-2046bd
label0_models_say_match,fold_03,Товары для животных,644245233619,730144547361,0,0.995,0.978,"пижон щётка - пуходёрка для среднешерстных животных, с каплями, 85 х 46 мм, черная","щётка - пуходёрка для среднешерстных животных, с каплями, 85 х 46 мм, черная, 1 шт."
label0_models_say_match,fold_01,Бытовая химия,695784805881,841813638254,0,0.987,0.986,средство для мытья пола grass arena с полирующим эффектом цветущий лотос 1л 1537427,"grass средство для пола с полирующим эффектом arena цветущий лотос, 1 л"
label0_models_say_match,fold_02,Дом и сад,781684057758,352187483043,0,0.991,0.981,"добрушский фарфоровый завод, тарелка мелкая ""лесовичок"", d - 17 см, рисунок микс","добрушский фарфоровый завод тарелка мелкая «лесовичок», d=17 см, рисунок микс"
label0_models_say_match,fold_01,Музыкальные инструменты,747324402597,395137114208,0,0.977,0.995,"трещотка-вертушка деревянная, fleet tc3181",трещотка fleet tc3181
label0_models_say_match,fold_01,Красота и гигиена,695784842079,618475368739,0,0.973,0.998,лесной бальзам зубная паста organic oils минеральное укрепление 75 мл,"зубная паста лесной бальзам organic oils минеральное укрепление, 75мл"
label0_models_say_match,fold_02,Продукты питания,695784710530,755914283517,0,0.974,0.998,"чай в пакетиках зеленый greenfield / гринфилд flying dragon классический, 100шт. / продукты питания",чай greenfield flying dragon зеленый 100 пакетиков
