fold,category,id1,id2,target,q_ce,q_llm,name1,name2
fold_01,Хобби и творчество,37296,635655220293,0,0.938,0.873,"/ настольная игра ""скажи иначе вечеринка""","игра настольная ""alias ""скажи иначе. вечеринка"", компактная версия, tactic, 53370"
fold_01,Бытовая химия,43524,197568521379,1,0.293,0.015,"средство для мытья ""умка"", для детской посуды, 1 л","умка жидкое средство для стирки ""умка"", гель, для стирки детского белья, 1 л"
fold_01,Аптека,71743,154618962854,0,0.949,0.922,"vitamuno новогодний медовый бальзам алтайский ""анти-простудный"", 250 мл","новогодний медовый бальзам алтайский анти-простудный, 250 мл"
fold_01,Продукты питания,96969,360777280976,1,0.312,0.715,alcotec / дрожжи турбо alcotec 48 classic,"дрожжи alcotec 48 classic, 5х130 гр (алкотек 48 классик спиртовые, 5 штук в комплекте)"
fold_01,Детские товары,99283,103079302399,0,0.931,0.864,"синтезатор музыкальный взрыв, 49 клавиш, работает от сети и от батареек","zabiaka синтезатор «музыкальный взрыв», 49 клавиш, работает сети и от батареек"
fold_01,Хобби и творчество,121575,816043869064,0,0.942,0.62,take it easy / нарды деревянные,"нарды ""охотники на привале"", деревянная доска 50 х 50 см, с полем для игры в шашки"
fold_01,Хобби и творчество,124327,712964612502,0,0.943,0.885,"набор для рисования светом ""новогодний сюрприз""","starpony настольные игры / набор для рисования светом ""новогодний сюрприз"""
fold_01,Дом и сад,8589950841,240518270955,0,0.949,0.791,"копилка-банка металл ""копилка для заветных желаний""","не определен копилка-банка металл ""копилка для заветных желаний"""
fold_01,Галантерея и аксессуары,8589955433,326417667288,1,0.259,0.177,hermes зонт полуавтомат,teffi / зонт женский автомат антиветер
fold_01,Продукты питания,8589961428,77309558246,1,0.167,0.534,печенье belvita утреннее со злаками и йогуртовой начинкой 253г х 3шт,печенье belvita утреннее с йогуртовой начинкой 253 г
fold_01,Детские товары,8589976937,635655233353,0,0.925,0.874,"конструктор sluban ""розовая мечта"", 117 деталей, пластик, в коробке (m38-b0921a)",sluban / конструктор розовая мечта
fold_01,Дом и сад,8589978073,68719499678,1,0.133,0.327,ковровая дорожка 100х550 см на войлочной основе,star-carpet / ковровая дорожка 100х500 см p2421a1r51 на войлочной основе
fold_01,Обувь,8589998582,506806148175,1,0.183,0.28,дутики basvello,volta / дутики
fold_01,Аптека,8590010950,34359776709,1,0.05,0.271,"1-day acuvue moist multifocal / мультифокальные линзы 1-day acuvue moist multifocal, r 8.4, -3.50, high, 30 линз",moist multifocal мультифокальные линзы +4.50 / low(слабая аддидация) / 8.4 / 14.3 / 30 штук (линз) однодневные контактные линзы. acuvue 1-day moist multifocal (акувью 1 день мойст мультифокальные)
