reason,is_fashion,fold,category,id1,id2,target,q_new,q_llm,name1,name2,attrs1,attrs2
confident_contradiction,1,fold_01,Галантерея и аксессуары,764504205847,721554594850,0,0.928,0.974,"тундра / замок навесной кодовый, 'сердце', красный","замок навесной кодовый тундра ""сердце"", красный",валюта:rub; комплектация:1 шт; страна производства:китай,бренд:тундра; коллекция:осень-зима 2023; пол:мужской; страна-изготовитель:китай; тип:навесной замок для багажа
confident_contradiction,1,fold_02,Обувь,807453859824,403726927562,1,0.241,0.052,"nike кеды nike, размер 43 eu, белый",кроссовки enkei,"бренд:nike; материал верха:искусственная кожа, текстиль; материал подкладки:текстиль; материал подошвы:резина; размер:43 eu; цвет товара:белый",бренд в одежде и обуви:enkei; вид застёжки:шнурки; коллекция:базовая коллекция; материал:натуральная кожа акулы; материал верха:натуральная кожа; материал подкладки обуви:текстиль; название цвета:(белый; пол:мужской; размер производителя:46 евро; российский размер:45; сезон:на любой сезон; спортивно
confident_contradiction,1,fold_03,Галантерея и аксессуары,790273995998,377957241586,1,0.111,0.289,polaroid очки солнцезащитные glasses-polaroid-men,polaroid / солнцезащитные очки,"артикул:nmt3466100588; бренд:polaroid; вес товара, г:50; категория защиты линзы:2 (43–18% светопропускания); коллекция:базовая коллекция; материал линзы:стекло; материал оправы:пластик; название цвета:модель1384; наличие флексов:нет; покрытие линз:uv фильтр; пол:мужской; степень затемнения:2 - средн",валюта:rub; комплектация:чехол; салфетка; очки; крепление дужек:сгибаемое; материал оправы:металл; страна производства:китай; цвет:серый; цвет линз:серебристый; ширина линзы:5.6 см; ширина носового моста:16 мм; ширина оправы:14 см
confident_contradiction,1,fold_03,Ювелирные изделия,395137002895,523986130166,1,0.183,0.288,young moon jewels / серьги из серебра 925 пробы,valtera серьги ювелирные серебро родированное 925 пробы,"валюта:rub; вид замка:английский; вставка:без вставки; комплектация:ювелирные серьги - 1 пара, бирка, пломба, подарочный мешочек; минимальный вес (г):5.5 г; покрытие:родий; проба:925; состав ювелирного изделия:серебро 925 пробы 100%; страна производства:россия; цвет:серебристый","артикул:103362; бренд:valtera; вес товара, г:3.56; вид замка:английский; вставка:стразы; количество камней:россыпь камней; коллекция:базовая коллекция; комплектация:серьги, пломба, бирка, подарочная упаковка; модель сережек:длинные; о драгоценном металле:родированное серебро - покрытие тонким слоем "
confident_contradiction,1,fold_02,Обувь,738734468069,146028927609,1,0.244,0.017,кроссовки jordan air jordan 7,nike / nike air max 2090,бренд в одежде и обуви:jordan; вид застёжки:шнурки; вид каблука:без каблука; декоративные элементы:вышивка; коллекция:базовая коллекция; материал:кожа с покрытием; материал верха:полимерные материалы; материал подкладки обуви:текстиль; материал подошвы обуви:полиуретан; материал стельки:эва (вспенен,"валюта:rub; российский размер:43,5"
confident_contradiction,1,fold_02,Галантерея и аксессуары,463856527710,395137087449,1,0.249,0.112,anyijmo очки солнцезащитные,"солнцезащитные очки ray-ban ray-ban rb 4165 710/13 rb 4165 710/13, коричневый","артикул:13ff7fb3ee7c6478fbf91ee1bf9abfa57; бренд:anyijmo; вес товара, г:33; высота линзы, мм:43; гарантийный срок:не ограничен; категория защиты линзы:3 (18–8% светопропускания); коллекция:весна-лето 2024; комплектация:коробка, футляр, салфетка, информационный буклет; материал линзы:поликарбонат; ма","артикул sku:rb 4165 710/13; вес:50 г; высота линзы:44 мм; гарантийный срок:1 г.; длина дужки:145 мм; комплектация:салфетка, футляр; конструкция оправы:ободковая; материал линз:поликарбонат; материал оправы:ацетат, пластик; модель:квадратные; особенности линз:градиентные; пол:мужской; степень затемне"
confident_contradiction,1,fold_01,Ювелирные изделия,455266630074,661424993003,1,0.098,0.116,"серьги из белого золота diamant 52-120-01945-1, фианит","diamant, серьги из белого золота с бриллиантами, 52-220-02092-1, декоративные, 585 проба",артикул производителя:52-120-01945-1; бренд:diamant; вид:классические; вставка:фианит; изображение/надпись:нет; код товара:100059793931; количество карат:0; материал изделия:белое золото; модель:52-120-01945-1; особенности дизайна:винтажные; покрытие:родирование; пол:женский; проба:585; размер (дхшх,"артикул:52-220-02092-1; бренд:diamant; бриллиант:42 бр круг 17 0,90*1,00, 2 бр круг 57; вес основных вставок, карат:0.197; вид замка:английский; вставка:бриллиант; гарантийный срок:гарантийный срок изделий составляет 6 (шесть) календарных месяцев для ювелирных изделий, 3 (три) года для часов из драг"
confident_contradiction,1,fold_04,Галантерея и аксессуары,377957194828,566935840839,1,0.139,0.179,skmei часы наручные,daniel klein / часы наручные daniel klein dk-1547-1,бренд:skmei; коллекция:осень-зима 2023; пол:мальчики; тип:часы наручные,"валюта:rub; вид стекла:минеральное; высота упаковки:9 см; гарантийный срок:1 год; диаметр корпуса:38 см; длина упаковки:9 см; класс водонепроницаемости:wr50 (5 atm); комплектация:часы, фирменная упаковка, инструкция, гарантийный талон.; материал браслета:силикон; механизм часов:электронные; особенно"
confident_contradiction,1,fold_01,Одежда,231928248054,670015009940,1,0.131,0.24,костюм спортивный,birdo / костюм теплый оверсайз с начесом,бренд в одежде и обуви:нет бренда; вид одежды:оверсайз; вид принта:надписи; вид спорта:бег; детали:карманы; длина рукава:длинный; инструкция по уходу:бережная стирка при 30 градусах; гладить на низких температурах; коллекция:осень-зима 2023; материал:футер двухнитка; материал подклада/внутренней отд,валюта:rub; декоративные элементы:аппликация; комплектация:кофта женская; штаны; особенности модели:теплостойкость; параметры модели на фото (ог-от-об):90-60-60; пол:женский; рост модели на фото:170 см; сезон:круглогодичный; демисезон; зима; состав:полиэстер 100 %; страна производства:россия; темпер
confident_contradiction,1,fold_01,Одежда,764504328101,420906943191,1,0.179,0.258,костюм спортивный yamiwoo,костюм спортивный,бренд в одежде и обуви:yamiwoo; вид застежки:без застежки; декоративные элементы:капюшон; коллекция:базовая коллекция; материал:футер; материал подкладки:флис; модель:оверсайз; пол:мальчики; признак 18+:false; размер производителя:158-164; российский размер:158; сезон:на любой сезон; состав комплект,"материал (состав):хлопок 80%, полиэстер 20%; размер:146-152; сезон:постоянный; страна производства:россия; цвет:синий"
