category,mb_stack,mb_stack_clip,delta_clip_minus_stack
Детские товары,0.551897410,0.473062008,-0.078835401
Бытовая химия,0.709129679,0.643083058,-0.066046621
Хобби и творчество,0.600308724,0.535854507,-0.064454217
Канцелярские товары,0.413131132,0.361453649,-0.051677482
Товары для животных,0.604914113,0.557600106,-0.047314007
Аптека,0.675735232,0.629607487,-0.046127745
Дом и сад,0.456011651,0.411080152,-0.044931499
Автотовары,0.850864295,0.809189121,-0.041675174
Музыкальные инструменты,0.581390231,0.542697889,-0.038692342
Галантерея и аксессуары,0.264485244,0.228278007,-0.036207238
Спорт и отдых,0.432886265,0.399605305,-0.033280960
Ювелирные изделия,0.309018475,0.283550778,-0.025467697
Мебель,0.424401820,0.399323045,-0.025078776
Строительство и ремонт,0.630308307,0.606262057,-0.024046250
Бытовая техника,0.594019089,0.573227146,-0.020791943
Красота и гигиена,0.512220628,0.494111863,-0.018108765
Продукты питания,0.800435679,0.785491017,-0.014944662
Электроника,0.608746206,0.608025699,-0.000720507
Одежда,0.134863180,0.134797566,-0.000065614
Обувь,0.094326220,0.094317999,-0.000008221
