category,mb_stack,mb_ce1_soup,delta_ce1_soup_minus_stack
Хобби и творчество,0.600308724,0.576424457,-0.023884267
Спорт и отдых,0.432886265,0.413983050,-0.018903215
Галантерея и аксессуары,0.264485244,0.248655661,-0.015829583
Детские товары,0.551897410,0.536587625,-0.015309785
Музыкальные инструменты,0.581390231,0.568580367,-0.012809864
Продукты питания,0.800435679,0.789050151,-0.011385528
Бытовая химия,0.709129679,0.699336022,-0.009793657
Красота и гигиена,0.512220628,0.508959902,-0.003260726
Автотовары,0.850864295,0.848264783,-0.002599512
Товары для животных,0.604914113,0.602814429,-0.002099684
Канцелярские товары,0.413131132,0.412754876,-0.000376256
Бытовая техника,0.594019089,0.596239490,+0.002220401
Обувь,0.094326220,0.098815769,+0.004489549
Электроника,0.608746206,0.614160463,+0.005414257
Строительство и ремонт,0.630308307,0.638734909,+0.008426603
Дом и сад,0.456011651,0.465295060,+0.009283409
Аптека,0.675735232,0.686977753,+0.011242520
Одежда,0.134863180,0.146769070,+0.011905890
Мебель,0.424401820,0.441962524,+0.017560704
Ювелирные изделия,0.309018475,0.376279065,+0.067260590
