category,baseline,latest,delta
Автотовары,0.8482647830403588,0.8482647830403588,0.0
Аптека,0.6869777526885575,0.6869777526885575,0.0
Бытовая техника,0.5962394901612846,0.5962394901612846,0.0
Бытовая химия,0.699336021675807,0.699336021675807,0.0
Галантерея и аксессуары,0.3481042921218889,0.3481042921218889,0.0
Детские товары,0.5365876247762823,0.5846115722735393,0.048023947497257025
Дом и сад,0.4652950600170451,0.48175161492969715,0.01645655491265202
Канцелярские товары,0.41275487583549036,0.42035034543344907,0.007595469597958704
Красота и гигиена,0.6226266265123087,0.6226266265123087,0.0
Мебель,0.4419625237851167,0.44196252378511663,-5.551115123125783e-17
Музыкальные инструменты,0.5685803669197415,0.5685803669197415,0.0
Обувь,0.18210815565821895,0.18210815565821895,0.0
Одежда,0.21472073715025677,0.21472073715025677,0.0
Продукты питания,0.789050150831854,0.789050150831854,0.0
Спорт и отдых,0.413983049996681,0.4231222748510183,0.009139224854337269
Строительство и ремонт,0.6387349092217662,0.6387349092217662,0.0
Товары для животных,0.6028144290210381,0.6273867848995832,0.024572355878545116
Хобби и творчество,0.5764244567910994,0.6054813950262525,0.029056938235153096
Электроника,0.6141604629405325,0.6141604629405325,0.0
Ювелирные изделия,0.3762849927613553,0.37627040730628086,-1.4585455074433984e-05
